also_sub_1,also_sub_2,also_sub_3,also_sub_4,also_sub_5,by,genre,more_by_1,more_by_2,more_by_3,more_by_4,more_by_5,num_ratings,podcast_name,rating,show_desc,subgenre,website
Hamilton the Podcast,Pod4Ham - a podcast about the musical Hamilton,Hamilton The Podcast,Broadway Backstory,The Room Where It's Happening: A Hamilton Fan Podcast,The Hamilcast,Arts,,,,,,43,The Hamilcast: A Hamilton Podcast,4.88372,"In this American podcast about an American musical about a bastard orphan, we (your hosts Gillian Pensavalle and Bianca Soto) talk all things Hamilton including how it brings people together, how we find Ham references in everyday life, and the general brilliance of the show. We'll also have special guests along the way ranging from people actually involved in the production (cast members and the creative team), to the minds behind some of the best social media accounts inspired by the show, to teachers who use the music to get their students excited about history, and everything in between. The discussion of Ron Chernow's ""Alexander Hamilton"" starts in episode three. If you're interested, please feel free to read along with us; we'll be going chapter-by-chapter. But there's no pressure! There's plenty to talk about and we're not treating this like a super serious history class. We're just here to have fun with people who also love Hamilton. When we started this podcast, only Bianca had seen Hamilton. Thanks to an incredibly generous listener, Gillian and Bianca were lucky enough to see Hamilton together the same day Lin-Manuel Miranda won the Pulitzer Prize. How lucky we are to be alive right now FOR REAL. If you have any great Ham stories or funny references you've come across, please let us know! We love hearing about things like that. Email us at TheHamilcast [at] gmail [dot] com, or find us on social media @TheHamilcast. We have the honor to be your obedient servants, G.Pen & B.So",Performing Arts,https://www.thehamilcast.com/
Scotch,Ruby: The Adventures of a Galactic Gumshoe,Return Home,Our Fair City,ars PARADOXICA,Rick Coste,Arts,Evolution Talk,,,,,49,The Behemoth,4.79592,"15 year old Madyson tells the story of the Behemoth. A large, lumbering beast that has emerged from the waters off of Cape Cod. As the Behemoth begins to walk across the country Madyson sees a chance to change her life.",Performing Arts,http://modernaudiodrama.com/project/the-behemoth/
The Broadway.com Show,"Broadway Bullet: Theatre from Broadway, Off-Broadway and beyond.",BroadwayRadio,Broadway | Podcast,MusicalTalk,"The Broadway Channel, Broadway Multimedia, Inc.",Arts,,,,,,18,The Broadway Channel,4.38888,"One on the aisle and a backstage pass to the best of Broadway! The Broadway Channel spotlights the hottest shows and the biggest stars that are now On Broadway and off Broadway. Each month, we feature glamourous opening night coverage, show features, and exclusive backstage interviews.",Performing Arts,http://www.broadwaychannel.com/
"danceScape Podcasts - Ballroom & General Dance News, Lessons, Apps & Games with interviews from Dancing with the Stars","Five(ish) Minute Dance Lesson: Latin Dance, Level 2",Passion4dancing Podcast - Ballroom Dancing Made Easy,Five(ish) Minute Dance Lesson: Swing!,Dario's Tango Guide,Dance Net Productions,Arts,,,,,,8,Ballroom Dance Champions - Video Podcast,4.0,"See ballroom dance champions performing smooth dances like the Waltz, Tango, Foxtrot, and Quickstep, or Latin dances like the Cha Cha, Rumba, Paso Doble, and Swing.",Performing Arts,http://www.classicdancers.com/
Outlook,Porchlight Storytelling Series,Spark - True Stories Live,What Happened To Vishal?,Imaginary Advice,The Lapse Storytellers,Arts,,,,,,112,The Lapse Storytelling Podcast,4.89286,"Award-winning, ""beautifully edited & rich in sound,"" sound designer Kyle Gest journeys listeners through true stories, gussied up. Whether wrongfully arrested in Thailand, contracting flesh-eating bacteria, or taking your parents to Burning Man, we tell true stories that feel like movies. See with your ears. This is The Lapse. New to the show? Try ""The Best of the Lapse Year Two.""",Performing Arts,http://www.thelapse.org/
Old Time Mystery Radio,Suspense OTR,inner sanctum,Old Time Science Fiction Radio,Old Time Horror Radio,BestFreeAudiobook.com,Arts,,,,,,11,Old Time Suspense Radio,4.0,Classic old time suspense radio. Sponsored by BestFreeAudiobook.com This Podcast was created using www.talkshoe.com,Performing Arts,http://www.talkshoe.com/talkshoe/web/tscmd/tc/19614
Darker Projects: Autumn,Darker Projects: Far Horizons,Age of the Zombies,Darker Projects: Night Terrors,Darker Projects: The Falcon Banner,DarkerProjects.com,Arts,,,,,,42,Darker Projects: Alive Inside,3.7381,"The human race? Forget about them. Laid waste by the Great Catastrophe, the remnants of humanity fight for survival is a world scarred by a plague that causes the dead to walk again. Now, the zombie hordes add to their infernal ranks with every fresh victim. Can a bold venture across the wastelands of the former United States of America hold the key to our salvation? Or does the future belong to the zombies? Original Zombie audio theater series from DarkerProjects.com.",Performing Arts,http://darkerprojectsaliveinside.blogspot.com/
Science Fiction Theater,Relic Radio Sci-Fi (old time radio),X Minus One Podcast,Old Time Suspense Radio,Scifi Friday,BestFreeAudiobook.com,Arts,,,,,,11,Old Time Science Fiction Radio,4.27273,Old time science fiction radio. Sponsored by BestFreeAudiobook.com This Podcast was created using www.talkshoe.com,Performing Arts,http://www.talkshoe.com/talkshoe/web/tscmd/tc/19616
Darker Projects: Alive Inside,Sanctuary: Surviving The Zombie Apocalypse,The Zombie Chronicles: Escape,Darker Projects: Autumn,The Heavenfield - Official,Necropolis Studio Productions,Arts,,,,,,71,Age of the Zombies,3.6338,"A plague has ravaged the Earth and changed the world as we know it. Millions upon millions have been transformed into flesh-eating zombies that roam the Earth with an unquenchable thirst for the living. Those fortunate enough not to have been infected are in a fight for their lives. Spread out across the globe, small groups struggle each day to see the next. One such group of survivors are trying to reach out to anyone who's still alive. They live in, the Age of the Zombies.",Performing Arts,http://www.necropolisstudioprod.com/ageofthezombies/aotz.html
RadioAmerica - Old Time Radio,Retro Old Time Radio,Times Past Podcast,Boxcars711 Old Time Radio Pod,Old Time Comedy Radio,Radioamerica,Arts,,,,,,11,Radio America,3.90909,"Remember the good old Days, when we could just sit down and listen to a good ole' story, the days of glory and honor, come join us at the living room and listen to some fun times. How we could let our hair down and relax.",Performing Arts,https://www.podomatic.com/podcasts/radioamerica
Star Trek: Lost Frontier,Star Trek: The Section 31 Files,Star Trek: Outpost,Star Trek: Lost Enterprise,Hidden Frontier Productions,Excelsior Productions,Arts,,,,,,35,Starship Excelsior,4.65713,"The Federation has opened the far reaches of the galaxy to exploration, with the Starship Excelsior as its standard-bearer. These are her stories. Released quarterly. Find special episodes and bonus material at starshipexcelsior.com.",Performing Arts,http://starshipexcelsior.com/
Improv Nerd With Jimmy Carrane,Improv Obsession - Conversations About Improvising Better,Don't Get Me Started,Improv Resource Center Podcast,improv4humans with Matt Besser,UCB Comedy,Arts,The Comedians of Wrestling,The Hooray Show,Blank Check with Griffin & David,UCB Sports & Leisure,,181,UCB Long-Form Conversations,4.92265,"The UCB Long-Form Conversations Podcast is the definitive source for news, information, and in-depth conversations about the best alternative comedy theatre on the planet. Now in its fourth incarnation, this podcast is a LaRonde, where the guest of episode 1 becomes the host of episode 2, the guest of episode 2 becomes the host of episode 3, and on, and on, and on. Sporadically, we also present ?Palate Cleansers?, where UCB teachers and staff present official UCB news/updates, and offer experimental one-off episodes. Tune in for passionate, insightful conversations about the art, comedy, and love of long form improv, presented by the comedians who teach and perform at UCB (NYC and LA). This podcast feed also features the full archive of this podcast going back to 2009.",Performing Arts,http://soundcloud.com/ucb-long-form-conversations
The Fat Man – The Great Detectives of Old Time Radio,Down These Mean Streets (Old Time Radio Detectives),Case Closed! (old time radio),Boston Blackie Podcast; Master Detective,Old Time Mystery Radio,Adam Graham,Arts,Podcast – The Great Detectives of Old Time Radio,Yours Truly Johnny Dollar – The Great Detectives of Old Time Radio,Sherlock Holmes – The Great Detectives of Old Time Radio,Video Theater – The Great Detectives of Old Time Radio,,33,Nero Wolfe ? The Great Detectives of Old Time Radio,4.15151,"Join Host Adam Graham as he goes through all 27 Old Time Radio episodes of Nero Wolfe, providing his quirky commentary as he goes.",Performing Arts,http://www.greatdetectives.net/detectives
Once Upon a Time in Vegas by Pendant Productions,Red Sands Investigations by Pendant Productions,Genesis Avalon by Pendant Productions,The Kingery by Pendant Productions,Tabula Rasa by Pendant Productions,Pendant Productions,Arts,,,,,,25,The Dixie Stenberg and Brassy Battalion Adventure Theater by Pendant Productions,4.59999,"An original, aerial sci-fi adventure serial!",Performing Arts,http://www.pendantaudio.com/
Shakespeare-upon-iPod,BardCast: The Shakespeare Podcast,Royal Shakespeare Company Podcast,American Shakespeare Center Podcast Central,"Hamlet by SHAKESPEARE, William",Antioch Classical Theatre Company,Arts,,,,,,17,ShakespeareCast - The Complete Works of William Shakespeare Podcast,4.05881,"Shakespeare, Shakespeare, Shakespeare. The complete works podcast one scene at a time.",Performing Arts,http://shakespearecast.com/
Jersey Boys,The Broadway Channel,Desert Island Discs,Sword and Scale,This American Life,JerseyBoysPodcast.com,Arts,,,,,,18,Jersey Boys Podcast,4.44444,The Jersey Boys Podcast is a fan focused podcast and site devoted to the Jersey Boys Broadway Musical and the music of Frankie Valli and The Four Seasons.,Performing Arts,http://www.jerseyboyspodcast.com/
The Fat Man – The Great Detectives of Old Time Radio,Down These Mean Streets (Old Time Radio Detectives),Old Time Mystery Radio,Boxcars711 Old Time Radio Pod,Just Old Time Radio,Video Theater – The Great Detectives of Old Time Radio,Arts,Podcast – The Great Detectives of Old Time Radio,Yours Truly Johnny Dollar – The Great Detectives of Old Time Radio,Sherlock Holmes – The Great Detectives of Old Time Radio,Nero Wolfe – The Great Detectives of Old Time Radio,,31,Video Theater ? The Great Detectives of Old Time Radio,3.48387,"Presented as part of the Great Detectives of Old Time Radios, Video Theater adds one public domain mystery or detective movie or TV episode per month.",Performing Arts,http://www.greatdetectives.net/detectives
Radio Detective Story Hour,Down These Mean Streets (Old Time Radio Detectives),Let George Do It – The Great Detectives of Old Time Radio,Detective OTR,Rogue’s Gallery – The Great Detectives of Old Time Radio,Jim Widner,Arts,,,,,,28,Radio Detective Story Hour,4.75,Get this and get it straight...Crime is a sucker's game... Tune into the detective broadcasts from the Golden Age of radio and the history behind them. Hear the actual radio broadcasts.,Performing Arts,http://www.otr.com/blog
Theater People,Broadway Backstory,BroadwayRadio,BroadwayCon: The Podcast,The Producer's Perspective Podcast with Ken Davenport,The Ensemblist: Mo Brady and Nikka Graff Lanzarone,Arts,,,,,,143,The Ensemblist,4.90909,"The Ensemblist is an inside look at the experience of being a Broadway performer- from the first rehearsal through performing eight shows a week and beyond. Whether you?re an experienced theatre professional or just a passionate fan, The Ensemblist will give you the opportunity to get to know new performers and the great work they do onstage, while also shedding light on some of the hidden innerworkings of Broadway. Created and hosted by Mo Brady (The Addams Family, SMASH) and Nikka Graff Lanzarone (Chicago, Women on the Verge of a Nervous Breakdown), The Ensemblist is the only podcast that shows you Broadway from the inside out. For more information, visit http://theensemblist.com.",Performing Arts,http://theensemblist.com/
Drummer's Resource Podcast,Drum Talk,Working Drummer,The Modern Drummer Podcast With Mike and Mike,Modern Drummer Podcasts,818 Studios,Arts,,,,,,83,Drummer Talk,4.6988,"The Internet's longest-running drumming podcast, Drummer Talk is devoted to drums, drumming, education, the music industry, and other percussion-related topics. Features news, reviews, interviews, and much more.",Performing Arts,http://www.drummertalk.org/
The Modern Drummer Podcast With Mike and Mike,I'd Hit That,Drummer Talk,Working Drummer,Daniel Glass Podcast,Drummer's Resource Podcast,Arts,,,,,,111,Drummer's Resource Podcast,4.91892,"Drummer's Resource is a podcast created for you, the Professional Drummer, Intermediate Drummer, or Beginning Drummer. If you are looking for inspiration and motivation during your daily commute, workout, or ""me"" time, Nick Ruffini delivers podcasts twice a week. Each episode brings you a successful Drummer or Music Industry Professional who shares their journey...failures, successes,advice and much more. Everything you need to succeed: Education, Information and Motivation for Drumming and Beyond!",Performing Arts,http://www.drummersresource.com/
Uncanny County,Scotch,Return Home,Help Me,The Elysium Project,The Nerdy Show Network,Arts,,,,,,48,Liberty,4.77083,"Welcome to the world of Liberty ? serialized sci-fi tales told in comic books and audio drama stories. The colony of Atrius has been cut off from humanity and endured generations of civil war. What remains is a gleaming city and beyond its walls, a lawless expanse known as the Fringe. Liberty features many tales from this world such as the harrowing Fringe expedition series Critical Research and standalone horror stories of Tales from the Tower.",Performing Arts,http://nerdyshow.com/liberty
BardCast: The Shakespeare Podcast,Folger Shakespeare Library: Shakespeare Unlimited,The Shakespeare Underground,Forgotten Classics,Reduced Shakespeare Company Podcast,In Your Ear Shakespeare,Arts,,,,,,68,Chop Bard,4.83824,"The show dedicated to revealing the plays of William Shakespeare as tasty entertainment for today?s hungry audience. Be you actor or observer, this show offers a fresh look at some very old goods.",Performing Arts,http://www.inyourearshakespeare.com/chopbard.html
The Bridge,ars PARADOXICA,Kakos Industries,"EOS 10, a scifi radio play",Our Fair City,Definitely Human,Arts,The Bunker,,,,,55,MarsCorp,4.96364,"From the creators of The Bunker podcast - MarsCorp is a 12-part scripted comedy podcast about Station Supervisor E.L. Hob?s first year at MarsCorp, a terraforming colony established on the red planet in 2070. You can support MarsCorp and Definitely Human by becoming a patron of the show. Your donations will go towards the production of new special episodes, other extra content and hopefully Season 2. Support MarsCorp at www.patreon.com/definitelyhuman",Performing Arts,http://marscorppodcast.com/
Batman: The Long Halloween - Audio Drama,Legends of the Batman,Batman Adventures Podcast,The Batman Universe Podcast,X-Men: The Audio Drama (Podomatic Feed),DarkerProjects.com,Arts,,,,,,26,Batman: No Man's Land,3.80769,Audio Theater Podcast,Performing Arts,http://batmannomansland.blogspot.com/
Critical Thinking - The Podcast,Critical Thinking Philosophy Broadcasts,WFMT: Chicago Chamber Musicians,CSO Audio Program Notes,Relevant Tones | Contemporary Classical Music,WFMT,Arts,,,,,,7,WFMT: Critical Thinking and Critic's Choice,4.0,"WFMT's ""Critic-at-Large"" Andrew Patner presents Critical Thinking, an hour-long weekly program of conversation about the arts, and Critic's Choice, a weekly feature in which Patner shares his observations on arts and culture.",Performing Arts,http://blogs.wfmt.com/andrewpatner
Old Time Dragnet Radio,Old Time Dragnet: Hosted by Adam Graham,Jeff Regan – The Great Detectives of Old Time Radio,Dragnet,Rogue’s Gallery – The Great Detectives of Old Time Radio,Adam Graham,Arts,,,,,,33,Podcast ? The Old Time Dragnet Show With Adam Graham,4.66667,"Jack Webb's Dragnet was a pioneering police The description you're about to read is true...In March, 2007, Adam Graham began his journey through all existing episodes of the Dragnet radio show and has been going ever since. Each week he serves up a new episode served along with listener feedback and idiosyncratic every man commentary. Also, every month a public domain episode of the 1950s Dragnet TV show is posted.",Performing Arts,http://www.otrdetectives.com/dragnet
SPINES Podcast,The Box Podcast,Passage,The Tunnels Podcast,SABLE,Becca De La Rosa,Arts,,,,,,49,Mabel,4.79592,"Mabel is a fiction podcast about ghosts, family secrets, strange houses, and missed connections.",Performing Arts,http://www.mabelpodcast.com/
Darker Projects: Autumn,Darker Projects: The Falcon Banner,Darker Projects: Alive Inside,Darker Projects: Far Horizons,The Heavenfield - Official,CMack,Arts,,,,,,43,Children Of The Gods,4.30233,A war we cannot lose. An enemy we cannot defeat. A destiny we will not escape. Join humanity's fight for survival in this epic original sci-fi adventure podcast!,Performing Arts,http://childrenofthegods.net/main/category/episodes
Not Too Deep with Grace Helbig,TED Radio Hour,Freakonomics Radio,Serial,This American Life,NRG danceProject,Arts,,,,,,8,NRG danceProject: NRGtv Episodes and Recaps,4.75,"NRG danceProject is an integration of KNOWLEDGE, TALENT and STYLE that takes dance conventions to the next level. Subscribe to receive TV espisodes, recaps, tutorials and dance combos from the hottest choreographers in the dance industry!",Performing Arts,http://nrgdance.libsyn.com/podcast
Darker Projects: The Falcon Banner,Darker Projects: Dark Matter,Darker Projects: Generation 1,Darker Projects: Sword of Windsor,Darker Projects: Autumn,DarkerProjects.com,Arts,,,,,,17,Darker Projects: Far Horizons,4.05881,An original audio theater production of science fiction created by Eric Busby.,Performing Arts,http://darkerprojectsfarhorizons.blogspot.com/
The Broadway Channel,BroadwayRadio,West End Theatre Series,54 Below Podcast,"Broadway Bullet: Theatre from Broadway, Off-Broadway and beyond.",MusicalTalk,Arts,,,,,,18,MusicalTalk,4.22222,"We are a weekly podcast devoted to bringing you news, views, reviews, interviews and much more content devoted to musical theatre and film. We discuss composers, writers, actors, theatres and shows and encourage listeners to join in. Visit our site at musicaltalk.co.uk",Performing Arts,http://www.musicaltalk.co.uk/
Texas Radio Theatre,Chatterbox Audio Theater,Stories – FinalRune Productions,Private Ear Audio Theatre,The Sonic Society,Atlanta Radio Theatre Company,Arts,,,,,,25,Centauri Express Audio Magazine,5.0,"Since 1984, the Atlanta Radio Theatre Company has been performing, recording, and broadcasting dramatic audio -- fully dramatized, fully sound-scaped audio drama. We like to think that what we do is classic ""old-time radio"", as it would sound with today's technology and dramatic techniques. From our archives, we proudly present the recordings of our live performances. Also visit us at artc.org.",Performing Arts,http://www.artc.org/
ARTE Radio : Le mike et l'enclume,Trajectoires,La Française Pop,Un Épisode et J'arrête,Le Cosy Corner,Laura Leishman,Arts,,,,,,N/A,Laura Leishman Podcast,N/A,"From Beirut to Berlin and beyond, the Laura Leishman Podcast travels the globe to bring you conversations with some of the world's most interesting humans, whether they be musicians, comedians, journalists or my mom.",Performing Arts,http://lauraleishman.com/
Age of the Zombies,Darker Projects: Alive Inside,We're Alive Fancast,The Zombie Chronicles: Escape,Darker Projects: Autumn,Brittney Brombbacher,Arts,,,,,,138,We're Not Dead,4.10869,"We're Not Dead! The Podcast about We're Alive at www.zombiepodcast.com - This podcast will include: Actor/Crew interviews, In depth plot/character analyzation, Theory discussions, Listener call-ins, Community contests and more!",Performing Arts,http://zombiepodcast.com/forum/forumdisplay.php?11-The-We-re-Not-Dead-Podcast
The Ensemblist,Maxamoo's New York City Theater Podcast,The Producer's Perspective Podcast with Ken Davenport,"Broadway Bullet: Theatre from Broadway, Off-Broadway and beyond.",Theater People,The BroadwayRadio Network,Arts,,,,,,116,BroadwayRadio,4.86207,BroadwayRadio produces a series of discussions about Broadway and theater around the world.,Performing Arts,https://broadwayradio.com/
Western Wednesday ; Classic Westerns,Old Time Radio Westerns,Westerns OTR,Into The West (old time radio),Great Old Time Radio,BestFreeAudiobook.com,Arts,,,,,,15,Old Time Western Radio,3.53333,Great old time radio westerns. Sponsored by BestFreeAudiobook.com This Podcast was created using www.talkshoe.com,Performing Arts,http://www.talkshoe.com/talkshoe/web/tscmd/tc/19648
Dread Central's Dreadtime Stories,fear-on-demand-podcast – Fear on Demand Horror Podcast,Campfire Radio Theater,Tales To Terrify,Darker Projects: Night Terrors,Various artists,Arts,,,,,,29,Midnight Circle,4.7931,Are you ready for something scary? Experience your fears through auditory horror. Visit www.midnightcircle.com.,Performing Arts,http://midnightcircle.com/
The Fat Man – The Great Detectives of Old Time Radio,The Line Up – The Great Detectives of Old Time Radio,The Great Detectives of Old Time Radio » Call the Police,Philip Marlowe – The Great Detectives of Old Time Radio,Boston Blackie Podcast; Master Detective,Adam Graham,Arts,Podcast – The Great Detectives of Old Time Radio,Yours Truly Johnny Dollar – The Great Detectives of Old Time Radio,Sherlock Holmes – The Great Detectives of Old Time Radio,Nero Wolfe – The Great Detectives of Old Time Radio,Video Theater – The Great Detectives of Old Time Radio,15,Let George Do It ? The Great Detectives of Old Time Radio,4.59999,"Adam Graham serves as your host, providing his idiosyncratic as he goes, as we go through the much underrated 1946-54 detective series starring a pre-Johnny Dollar Bob Bailey as Detective George Valentine a World War II vet, who along with his secretary and assistant Brooksie take on every case that's mailed to them.",Performing Arts,http://www.greatdetectives.net/detectives
I'd Hit That,Drummer's Resource Podcast,Kreative Kontrol,The Modern Drummer Podcast With Mike and Mike,Working Drummer,Joe Wong,Arts,,,,,,79,The Trap Set with Joe Wong,4.89872,"Each Wednesday on The Trap Set, Joe Wong talks to a different drummer about life.",Performing Arts,http://www.thetrapset.net/
The Once And Future Nerd - A Fantasy-Comedy Audio Drama,Hadron Gospel Hour,"Alba Salix, Royal Physician",Rude Alchemy,Edict Zero - FIS,The Cardinal James Show,Arts,,,,,,53,"It's About Time - A time travel comedy, modern audio drama",4.77358,"Join Charlie and Steve on a time travel adventure as they seek their fame and fortune and maybe cause a calamity or two. This bi-weekly audio drama, comedy really, reveals what happens when two bumbling idiots are given the keys to time travel. Be sure to check us out at http://itsabouttimetravelagency.com and follow us on Social Media.",Performing Arts,http://itsabouttimetravelagency.com/
Knifepoint Horror,The Dark Verse,Tales To Terrify,Wormwood: A Serialized Mystery,"The Lift, An Audio Drama",Roger Walsh,Arts,,,,,,15,Part-Time Artist Podcast,3.46667,Millennial musician Roger gives you some perspective as he tries to work his way to becoming a self-sufficient artist.,Performing Arts,http://officialrogerwalshpodcast.blogspot.com/
Great Old Time Radio,Old Time Tarzan Radio,Old Time Perry Mason Radio,Old Time Radio - I Love A Mystery,Old Time Lone Ranger Radio,BestFreeAudiobook.com,Arts,,,,,,5,Old Time Hero Radio,3.4,Great old time hero radio. Sherlock Holmes. The Blue Beetle. The Adventures of Superman. Batman. The Shadow. Flash Gordon. Chandu the Magician. The Avenger. The Green Hornet. Captain Midnight. Sponsored by BestFreeAudiobook.com This Podcast was created using www.talkshoe.com,Performing Arts,http://www.talkshoe.com/talkshoe/web/tscmd/tc/91820
IWM Voices of the First World War,The National Archives Podcast Series,DumTeeDum - A show about The BBC The Archers by its Fans,History Of The Great War,IWM First World War Galleries,BBC Radio 4,Arts,Global News Podcast,In Our Time,The Documentary,A History of the World in 100 Objects,Friday Night Comedy from BBC Radio 4,17,Home Front,4.29411,Drama serial tracking the fortunes of a group of characters on the home front as they try to maintain normality while Britain is involved in the First World War.,Performing Arts,http://www.bbc.co.uk/programmes/b047qhc2
"The Other Stories | Sci-Fi, Horror, Thriller, WTF Stories",The Archives,Manor House: The Podcast,Dread Central's Dreadtime Stories,Ghost and Horror Stories,Ghastly Tales Productions,Arts,,,,,,11,The Ghastly Tales Horror Show,4.90909,"The Ghastly Tales Horror Show produces original horror narrations, radio plays, and discussions dripping with atmosphere. We create nightmares. Join us. Stay a while, stay forever...",Performing Arts,http://ghastlytales.libsyn.com/podcast
San Diego Opera Podcast,Glyndebourne-Opera,Wagner Operas Podcasts,Met Opera Guild Podcast,Unnatural Acts of Opera,Lyric Opera of Chicago,Arts,,,,,,7,Lyric Opera of Chicago Podcasts,3.57143,Behind-the-scenes interviews from Lyric Opera of Chicago,Performing Arts,http://lyricoperamedia.s3.amazonaws.com/rss/itunes.xml
Just A Story: Urban Legend Podcast,The Penumbra Podcast,SABLE,Scotch,The Tunnels Podcast,Just A Story Presents,Arts,,,,,,48,Audio Dime Museum: Carnivale,4.75,"From the Just A Story team, comes a weekly, serialized experimental storytelling podcast which explores historical legends through the artifacts on display in the Audio Dime Museum. Part guided tour, part radio drama; each episode presents the curious story of one object from the collection. Meet your guide on this journey, The Curator, and learn her secrets as you delve into the world of possibility, magic and the unknown. Merging the suspenseful style of mystery with the conventions of ghost stories and the peculiarity that only historical fact can provide, this podcast is not for the faint of heart. Please begin at the beginning, with the *PROLOGUE* and proceed through the collection accordingly. Unlike most stories, this one does not improve when listened to in reverse. For more on history and urban legends, check out Just A Story: The Urban Legend Podcast : https://itunes.apple.com/us/podcast/just-story-urban-legend-podcast/id1065407404?mt=2 www.justastorypod.com @justastorypod",Performing Arts,http://audiodimemuseum.libsyn.com/podcast
2nd Story,Porchlight Storytelling Series,EMPLOYEE of the MONTH,The Stoop Storytelling Series,Live Wire Radio,Jody Avirgan,Arts,,,,,,24,Ask Roulette,4.66667,"Ask Roulette is a conversation series in which strangers ask each other questions, live on stage. It's a mix of conversation, comedy, and storytelling -- there's also music. David Plotz of Slate calls it ""great"" and the Observer says it's one of NYC's 10 Best Podcasts. The podcast features highlights from our live events at Housing Works Bookstore in New York, including appearances by special guests. Past guests have included Robert Krulwich of Radiolab, Kurt Braunohler, Julie Klausner, Baratunde Thurston, Kevin Allison of RISK, and many many more. Ask Roulette is hosted by Jody Avirgan, a producer at WNYC Radio in New York. More, including information about attending the live show, at www.askroulette.net www.askroulette.net | @AskRoulette | facebook.com/askroulette",Performing Arts,http://www.askroulette.net/
SABLE,The Box Podcast,The Bridge,SPINES Podcast,Subject: Found,Robert Chauncey,Arts,,,,,,28,The Tunnels Podcast,3.75,"The Tunnels is a serialized docudrama about the mysterious tunnels that can be found underneath a small town in Georgia. What are they? What is their history? What are those mysterious sounds heard within them? Find out what's just below the surface of the town, because if you look underneath, there is so much more.",Performing Arts,http://www.tunnelspodcast.com/
Darker Projects: The Byron Chronicles,Children Of The Gods,Edict Zero - FIS,Darker Projects: The Falcon Banner,Darker Projects: Autumn,Eric Busby,Arts,,,,,,17,The Byron Chronicles ?,4.58824,Audio Production,Performing Arts,http://ericbusbypresents.com/category/the-byron-chronicles/
Jim Robbie and the Wanderers,The Tunnels Podcast,The Bridge,SABLE,The Elysium Project,Alexander Danner & Jeff Van Dreason,Arts,,,,,,51,Greater Boston,4.94118,N/A,Performing Arts,http://www.greaterbostonshow.com/
Gary and Shannon,Wayne Resnick on Demand,The Mo Kelly Show,Fork Report,The Monique Marvez Show,KFI AM 640,Arts,,,,,,N/A,WakeUpCall,N/A,Wake Up Call hosted by Aron Bender and Jennifer Jones Lee weekdays starting at 5am,Performing Arts,http://kfiam640.iheart.com/media/podcast-wakeupcall
Lyric Opera of Chicago Podcasts,Opera Box Score,San Diego Opera Podcast,Unnatural Acts of Opera,The Indie Opera Podcast,Michael Rice,Arts,,,,,,155,OperaNow!,4.85806,The opera podcast that demystifies the sometimes mystifying art form and helps listeners of all levels have a few laughs and garner a better understanding of opera.,Performing Arts,http://operanowpodcast.com/
Paralyzed,Scotch,Return Home,The Elysium Project,The Night Blogger,Unknown,Arts,,,,,,29,Help Me,3.41379,"My name is Nicole Keene. A few months ago my friend Olivia died suddenly. When I was going through her stuff, I found a voice recorder. Now I think I've found something that proves her death wasn't just a suicide...",Performing Arts,http://nicolekeeneblog.com/
Scotch,Jim Robbie and the Wanderers,"Alba Salix, Royal Physician",Help Me,The Bridge,Natalie Van Sistine,Arts,,,,,,15,The Elysium Project,4.93333,The Elysium Project follows those who are pulled into the world of a powerful formula that allows its subjects to manipulate the world around them based on thought and desire.,Performing Arts,http://elysiumprojectaudio.com/
Bryar Lane,The Behemoth,The Elysium Project,Help Me,The Tunnels Podcast,Rick Coste,Arts,,,,,,23,Scotch,4.21739,"Bobbi is scared. There have been strange things happening to those around her - terrifying things. The one thing all of these things have in common... is her. Rick Coste Productions presents 'Scotch', a psychological tale of terror starring Mackenzie Bryant.",Performing Arts,http://modernaudiodrama.com/project/scotch/
The Hamilcast: A Hamilton Podcast,Hamilton The Podcast,Hamilton the Podcast,The Room Where It's Happening: A Hamilton Fan Podcast,Making The Sausage,Jason Snell,Arts,The Incomparable,TV Talk Machine,Incomparable Radio Theater,Incomparable Superfeed (All Shows),,17,Pod4Ham - a podcast about the musical Hamilton,4.29411,Pod4Ham is a podcast that?s all about the musical ?Hamilton.? Every episode features different groups of interesting people talking about a single track from the Original Broadway Cast Recording.,Performing Arts,https://www.theincomparable.com/pod4ham/
Old Time Radio,Big Broadcast (Old Time Radio),Just Old Time Radio,Best of Old Time Radio,Relic Radio (old time radio),Old Time Radio,Arts,,,,,,N/A,The Big Broadcast,N/A,"The old-time radio era, sometimes referred to as the Golden Age of Radio, refers to a period of radio programming in the United States lasting from the proliferation of radio broadcasting in the early 1920s until the 1950s, when television superseded radio as the medium of choice for scripted programming and radio shifted to playing popular music.",Performing Arts,http://jaiminsseries.blogspot.com/
